garage_id,address,lat,lng,rate_per_half_hour,carpark_type_str,capacity,start_date_time,start_date,start_time,end_date_time,end_date,end_time,duration_type,parking_type,cust_id,cell
GP0060,14 Barkwin Dr.,43.738381,-79.5652828,$1.00,Surface,23,2020-02-10 6:00,2020-02-10,6:00,2020-02-14 18:00,2020-02-14,18:00,long-term,public,ACA000354,9059881385
GP0097,1940 Lawrence Avenue East,43.744476,-79.299188,$1.00,Surface,25,2020-02-10 6:00,2020-02-10,6:00,2020-02-14 18:00,2020-02-14,18:00,long-term,public,ACA000355,4169680367
GP0029,1091 Eastern Avenue,43.664603,-79.318234,$1.00,Surface,45,2020-02-12 17:00,2020-02-12,17:00,2020-02-12 21:00,2020-02-12,21:00,short-term,public,ACA000356,9056465383
GP0016,1 Brimley Road (Bluffer's Park),43.70664,-79.235437,$1.50,Surface,232,2020-02-10 6:00,2020-02-10,6:00,2020-02-14 18:00,2020-02-14,18:00,long-term,public,ACA000357,4162856417
GP0174,40 Larch Street,43.652954,-79.397024,$2.00,Garage,357,2020-02-10 6:00,2020-02-10,6:00,2020-02-14 18:00,2020-02-14,18:00,long-term,public,ACA000358,4164899962
GP0019,10 Harlandale Avenue,43.762168,-79.412441,$2.50,Surface,112,2020-02-10 6:00,2020-02-10,6:00,2020-02-14 18:00,2020-02-14,18:00,long-term,public,ACA000359,9053539794
GP0034,110 Queen Street West (Nathan Phillips Square Garage),43.651696,-79.383699,$3.50,Garage,2027,2020-02-10 6:00,2020-02-10,6:00,2020-02-14 18:00,2020-02-14,18:00,long-term,public,ACA000360,9053544322
GP0044,1169 Weston Road,43.687441,-79.4903,$1.00,Surface,47,2020-02-12 13:00,2020-02-12,13:00,2020-02-12 15:00,2020-02-12,15:00,long-term,public,ACA000361,9059346618
GP0031,11 Grenview Blvd. N.,43.648738,-79.507853,$1.00,Surface,83,2020-02-12 13:00,2020-02-12,13:00,2020-02-12 15:00,2020-02-12,15:00,short-term,public,ACA000362,4165139511
GP0089,17 Riverview Gardens,43.649119,-79.486397,$1.00,Surface,113,2020-02-12 15:00,2020-02-12,15:00,2020-02-12 19:00,2020-02-12,19:00,short-term,public,ACA000363,9057017017
GP0237,91 Via Italia,43.676817,-79.445239,$1.00,Garage,169,2020-02-12 13:00,2020-02-12,13:00,2020-02-12 15:00,2020-02-12,15:00,short-term,public,ACA000364,9059356932
GP0058,139 ISLINGTON AVE.,43.601317,-79.50531,$1.00,Surface,11,2020-02-12 17:00,2020-02-12,17:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000365,4163041445
GP0198,65 Colonel Samuel Smith Park Drive,43.593757,-79.516468,$1.00,Surface,210,2020-02-12 14:00,2020-02-12,14:00,2020-02-12 19:00,2020-02-12,19:00,short-term,public,ACA000366,9059373594
GP0228,838 Broadview Ave.,43.67849996,-79.35887257,$1.00,Surface,11,2020-02-12 13:00,2020-02-12,13:00,2020-02-12 18:00,2020-02-12,18:00,short-term,public,ACA000367,9057141517
GP0133,2623 Eglinton Avenue West,43.689981,-79.475222,$1.00,Surface,13,2020-02-12 16:00,2020-02-12,16:00,2020-02-12 21:00,2020-02-12,21:00,short-term,public,ACA000368,9056469594
GP0157,3354 Dundas Street West,43.665668,-79.4819,$1.00,Surface,13,2020-02-12 13:00,2020-02-12,13:00,2020-02-12 17:00,2020-02-12,17:00,short-term,public,ACA000369,9054683257
GP0068,15 Marine Parade Drive,43.6267898,-79.4767453,$1.00,Surface,14,2020-02-12 19:00,2020-02-12,19:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000370,4169201611
GP0023,100 Grangeway Avenue,43.77458,-79.251359,$1.00,Surface,214,2020-02-12 17:00,2020-02-12,17:00,2020-02-12 21:00,2020-02-12,21:00,short-term,public,ACA000371,9056823671
GP0025,101 Grangeway Avenue,43.775378,-79.250093,$1.00,Surface,261,2020-02-12 15:00,2020-02-12,15:00,2020-02-12 19:00,2020-02-12,19:00,short-term,public,ACA000372,9056823202
GP0080,158 Borough Drive,43.772181,-79.256377,$1.00,Surface,16,2020-02-12 13:00,2020-02-12,13:00,2020-02-12 18:00,2020-02-12,18:00,short-term,public,ACA000373,9053531462
GP0038,1141 Eastern Avenue,43.66566,-79.314079,$1.00,Surface,18,2020-02-12 12:00,2020-02-12,12:00,2020-02-12 18:00,2020-02-12,18:00,short-term,public,ACA000374,9056853507
GP0223,789 St. Clair Avenue West,43.680738,-79.429629,$1.00,Surface,18,2020-02-12 19:00,2020-02-12,19:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000375,4164857294
GP0179,406 Oakwood Avenue,43.688069,-79.439317,$1.00,Surface,19,2020-02-12 6:00,2020-02-12,6:00,2020-02-14 18:00,2020-02-14,18:00,long-term,public,ACA000376,9056840677
GP0212,709 Millwood Road,43.704181,-79.374053,$1.00,Garage,20,2020-02-12 12:00,2020-02-12,12:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000377,4169281563
GP0084,166 Woodbine Ave,43.668252,-79.306226,$1.00,Surface,21,2020-02-12 13:00,2020-02-12,13:00,2020-02-12 18:00,2020-02-12,18:00,short-term,public,ACA000378,9056826886
GP0121,2225 Lake shore Blvd West (Parks),43.61478,-79.478059,$1.00,Surface,22,2020-02-12 16:00,2020-02-12,16:00,2020-02-12 21:00,2020-02-12,21:00,short-term,public,ACA000379,4165069527
GP0073,1503 Bayview Avenue,43.703909,-79.374332,$1.25,Surface,25,2020-02-12 13:00,2020-02-12,13:00,2020-02-12 15:00,2020-02-12,15:00,short-term,public,ACA000380,4164082220
GP0070,15 Primrose Avenue,43.614299,-79.489882,$1.00,Surface,23,2020-02-12 14:00,2020-02-12,14:00,2020-02-12 19:00,2020-02-12,19:00,short-term,public,ACA000381,4164837176
GP0076,1531 Eglinton Avenue West,43.697588,-79.440712,$1.00,Surface,23,2020-02-12 13:00,2020-02-12,13:00,2020-02-12 17:00,2020-02-12,17:00,short-term,public,ACA000382,4164455699
GP0113,2053 Dufferin Street,43.6866,-79.446383,$1.00,Surface,23,2020-02-12 17:00,2020-02-12,17:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000383,9056828741
GP0238,912 Eglinton Avenue West,43.700543,-79.428073,$1.25,Surface,26,2020-02-12 14:00,2020-02-12,14:00,2020-02-12 19:00,2020-02-12,19:00,short-term,public,ACA000384,4166075626
GP0242,995 Eglinton Avenue West,43.699612,-79.431131,$1.25,Surface,33,2020-02-12 13:00,2020-02-12,13:00,2020-02-12 15:00,2020-02-12,15:00,short-term,public,ACA000385,4164877880
GP0082,1612 Danforth Avenue,43.683577,-79.322995,$1.50,Surface,25,2020-02-12 14:00,2020-02-12,14:00,2020-02-12 19:00,2020-02-12,19:00,short-term,public,ACA000386,9056850657
GP0096,192 Boardwalk Dr,43.668004,-79.307384,$1.00,Surface,24,2020-02-12 16:00,2020-02-12,16:00,2020-02-12 21:00,2020-02-12,21:00,short-term,public,ACA000387,9059346049
GP0201,66 Third Street,43.601216,-79.500697,$1.00,Surface,24,2020-02-12 17:00,2020-02-12,17:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000388,4164836727
GP0122,2225 Lake shore Blvd West (Parks),43.616982,-79.477247,$1.00,Surface,28,2020-02-12 17:00,2020-02-12,17:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000389,4164451415
GP0195,575 Royal York Road,43.626997,-79.502724,$1.00,Surface,28,2020-02-12 6:00,2020-02-12,6:00,2020-02-14 18:00,2020-02-14,18:00,long-term,public,ACA000390,9054688514
GP0200,653 Gerrard Street East,43.665784,-79.350195,$1.00,Surface,30,2020-02-12 15:00,2020-02-12,15:00,2020-02-12 21:00,2020-02-12,21:00,short-term,public,ACA000391,4164475971
GP0083,1624 Queen Street West,43.639526,-79.442441,$1.00,Surface,33,2020-02-12 17:00,2020-02-12,17:00,2020-02-12 21:00,2020-02-12,21:00,short-term,public,ACA000392,9059370096
GP0172,4 Rosemount Avenue,43.7013911,-79.5138189,$1.00,Surface,34,2020-02-12 17:00,2020-02-12,17:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000393,4165940077
GP0232,9 Bonar Place,43.6527778,-79.4338219,$1.00,Surface,34,2020-02-12 16:00,2020-02-12,16:00,2020-02-12 21:00,2020-02-12,21:00,short-term,public,ACA000394,9056854214
GP0194,573 Gerrard Street East,43.665202,-79.353164,$1.00,Surface,37,2020-02-12 18:00,2020-02-12,18:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000395,9059846686
GP0206,7 Bartlett Avenue,43.660899,-79.433013,$1.00,Surface,37,2020-02-12 18:00,2020-02-12,18:00,2020-02-12 21:00,2020-02-12,21:00,short-term,public,ACA000396,4165941263
GP0137,268 Rhodes Ave,43.672047,-79.320366,$1.00,Surface,38,2020-02-12 18:00,2020-02-12,18:00,2020-02-12 21:00,2020-02-12,21:00,short-term,public,ACA000397,4163664213
GP0131,251 MacPherson Avenue,43.677378,-79.40035,$1.00,Surface,40,2020-02-12 15:00,2020-02-12,15:00,2020-02-12 19:00,2020-02-12,19:00,short-term,public,ACA000398,4169251648
